"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PURCHASE-URL";
"C1";"47µF";"CERAMIC-CAP";"1206";"ceramic capacitor leads 2.5mm and 5.5mm";"";"";"";"";"";"";"";"";"";"";
"C2";"1µF";"CERAMIC-CAP";"1206";"ceramic capacitor leads 2.5mm and 5.5mm";"";"";"";"";"";"";"";"";"";"";
"C3";"100µF";"CERAMIC-CAP";"1206";"ceramic capacitor leads 2.5mm and 5.5mm";"";"";"";"";"";"";"";"";"";"";
"C12";"100µF";"ELCOELCO3,5MMLEAD";"ELCO-3.5MMLEAD";"electrolytic capacitor 3.5mm lead";"";"";"";"";"";"";"";"";"";"";
"D1";"SCHOTTKY-SMA";"SCHOTTKY-SMA";"SMA-ALT";"Schottky diode SMA package";"";"";"";"";"";"";"";"";"";"";
"D2";"pwr";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"D3";"SCHOTTKY-SMA";"SCHOTTKY-SMA";"SMA-ALT";"Schottky diode SMA package";"";"";"";"";"";"";"";"";"";"";
"D4";"";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"D5";"";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"D6";"";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"D7";"";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"D8";"STEP";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"D9";"DIR";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"D10";"Enbl.";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"D11";"Vmot";"LED-0603V1";"LED_0603";"LED SMD mount";"";"";"";"";"";"";"";"";"";"";
"IC1";"ARDUINO-PRO-MINI-LIMITED";"ARDUINO-PRO-MINI-LIMITED";"ARDUINO-PRO-MINI-LIMITED";"Arduino Pro Mini Clone V1.0";"";"";"";"";"";"";"";"";"";"";
"IC2";"7805";"LM78XX-TO220SINK_V2";"LM7805-SINK_V2";"LM1117 TO220 VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";
"IC3";"PCF8574T";"PCF8574T";"SOIC127P1032X265-16N";"Remote 8-bit I/O expander for I2C-bus Check availability";"Not in stock";" I/O Expander 8 I²C 100 kHz 20-SSOP ";"NXP Semiconductors";"PCF8574T";"";"";"";"SOIC-16 NXP Semiconductors";"None";"";
"IC4";"ULN2003";"ULN2003";"SO16";"";"";"";"";"";"";"";"";"";"";"";
"JP1";"MS1";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";
"JP2";"MS2";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"JP4";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"JP5";"";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"JP6";"MS3";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";
"JP7";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"JP9";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";
"JP10";"";"JUMPER-SMT_2_NO_SILK";"SMT-JUMPER_2_NO_SILK";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";
